"stim_id","spec_cent_mean","spec_cent_std","spec_bandwidth_mean","spec_bandwidth_std","spec_contrast_mean","spec_contrast_std","spec_flatness_mean","spec_flatness_std","spec_rolloff_mean","spec_rolloff_std","zero_cross_mean","zero_cross_std","rms_mean","rms_std","mfcc1_mean","mfcc1_std","mfcc2_mean","mfcc2_std","mfcc3_mean","mfcc3_std","mfcc4_mean","mfcc4_std","mfcc5_mean","mfcc5_std","mfcc6_mean","mfcc6_std","mfcc7_mean","mfcc7_std","mfcc8_mean","mfcc8_std","mfcc9_mean","mfcc9_std","mfcc10_mean","mfcc10_std","tempo_mean","tempo_std"
"stim_40",2731.80598574622,747.262073898383,3050.65037440647,739.647020618061,18.1163660058939,12.2782997538314,0.00028573466,0.0013023643,5721.23207115906,1882.18669745844,0.0537669651279509,0.0230842568574443,0.2033896,0.09059002,-134.79704,152.80351,131.30391,42.133595,-46.96588,33.809948,58.187523,20.200756,-1.4254651,13.451125,29.568027,14.075895,-6.3084545,11.555801,17.411894,13.009453,-5.142256,10.716412,8.811788,9.527001,117.453835227273,0
"stim_10",1701.65714732106,917.062192329497,2274.32387457703,692.749244719345,19.0601825759906,9.98493982849537,0.00012239092,0.00016359783,3351.7380658318,2055.54830975656,0.0348983150517608,0.0256887306278375,0.109448716,0.056261256,-217.70573,122.17619,161.14642,20.344206,-15.394081,48.361637,40.986984,14.340217,7.276148,21.763968,18.860508,9.493657,2.9471347,12.935108,16.840029,8.494268,6.8473253,7.845557,6.9842706,6.9246664,151.999080882353,0
"stim_17",1778.81834906473,1652.2422344324,2179.29796484623,1341.72973191206,20.6564551784023,11.3872857810229,0.0025691616,0.010892308,3394.58616435021,3436.37446096925,0.0479321852235937,0.0696492219791941,0.14064933,0.10329694,-255.31104,136.21382,144.366,79.050835,-6.0537486,22.874905,23.285254,21.62837,-1.4054884,17.938902,7.4893665,13.03507,-8.423511,12.2153845,-4.762888,9.695181,-3.0542393,8.484389,-5.1017776,10.366112,95.703125,0
"stim_6",3831.95111917965,1028.87255841716,3656.89724139655,598.484874412728,20.1506357348619,12.6498413104571,0.0007110811,0.0005078958,7766.40720426483,2162.16896229946,0.0917372570687403,0.0396849102165481,0.18993346,0.03085232,-72.78241,43.488903,120.33176,25.09707,-49.65257,21.819527,61.93958,15.164783,-16.153946,13.242149,36.160976,12.600982,-18.271973,9.625539,25.16079,9.497272,-11.251751,9.23388,17.605822,8.023144,95.703125,0
"stim_39",3580.52810446722,545.752756851289,3566.97761984729,440.236910882978,15.8326853796718,8.26785420890194,0.0038012224,0.0033708145,6883.20131976538,1296.1844940549,0.0839302179612513,0.0174931676783043,0.30557132,0.042675488,-15.874873,18.49974,129.14859,17.271671,-64.76797,10.808481,53.3666,10.986999,-6.7648563,9.205628,29.846693,7.7938614,-5.657281,7.9353995,27.982653,6.860296,1.2077163,6.9505434,19.317062,6.8088284,143.5546875,0
"stim_28",1163.43770191925,659.629948314478,1924.04498145503,907.240720194953,23.100611001702,8.33204478736943,3.198427e-05,0.00013758166,1880.63029475256,1676.47574462915,0.0246109622919892,0.0157061551198137,0.07763146,0.042554613,-331.1281,66.0649,204.10739,26.969746,27.975561,26.59464,-2.3854017,19.512377,-4.8743434,16.22307,12.513583,16.657648,-15.141106,18.623236,13.264008,18.236622,-7.7445865,14.182404,-5.6404843,11.783524,123.046875,0
"stim_2",2457.57646796953,469.533535861996,2297.57452852835,352.418833920936,18.1509754920283,9.05564064394324,0.00015621936,0.00014697657,4775.14612534467,1087.11061313216,0.0698693809863584,0.0174572793234293,0.1058659,0.03331054,-163.57768,40.454666,179.59578,15.717028,-87.37013,13.627341,52.06989,31.044127,-15.0755005,15.852502,6.3671255,17.955915,5.155835,9.369309,-8.6650915,8.446143,16.967278,9.434288,-10.797231,6.793991,123.046875,0
"stim_14",1787.09205277583,1209.16133826217,2523.34098973808,843.536869432418,21.1009252957708,9.95414880143832,0.00015534446,0.00044929216,3396.35029606775,2647.92343127879,0.0336973585949594,0.0392363445744882,0.10926395,0.047769822,-253.57857,82.06549,157.22676,36.219078,5.741272,34.239273,34.87809,24.44317,2.1912415,18.357239,18.143566,15.952528,-12.570234,16.585842,4.178397,12.158209,-0.7935184,12.62381,-3.3934796,12.887408,75.9995404411765,0
"stim_25",1500.30223129728,985.961269789062,1902.79927948117,743.219403949149,19.635392983901,8.03774425467452,0.0017489203,0.01832345,2845.92775750716,2013.87435854698,0.0346553424484307,0.0352393523166967,0.13874456,0.081912875,-247.44255,104.55076,184.17555,45.80967,-17.787302,44.246815,35.62148,23.182648,5.903152,16.420862,-6.1064224,10.267535,-0.13312155,11.163412,-4.237688,10.496514,1.0982445,8.90504,-16.42049,10.192809,123.046875,0
"stim_36",2350.84920740374,542.57930085129,2548.58692857779,423.004253751204,19.1045840721535,11.0168985186556,0.00019935105,0.0002473775,4524.78930588477,1097.08789037272,0.0557726219342589,0.0211059801059118,0.14610316,0.039169278,-136.3116,58.268555,163.33607,21.189198,-62.727905,23.69247,55.02836,12.590319,9.203343,15.670362,23.05555,11.20346,-3.7045665,10.178443,13.022957,8.338466,-1.8431695,8.426651,2.1201441,7.7035084,117.453835227273,0
